""	"reads.in"	"reads.out"
"16780-515rcbc112_S105_L001_R1_cut.fastq.gz"	4292	2195
"16781-515rcbc113_S106_L001_R1_cut.fastq.gz"	4678	2830
"16782-515rcbc114_S107_L001_R1_cut.fastq.gz"	3365	940
"16783-515rcbc115_S108_L001_R1_cut.fastq.gz"	5960	4760
"16784-515rcbc60_S59_L001_R1_cut.fastq.gz"	4757	2230
"16785-515rcbc61_S60_L001_R1_cut.fastq.gz"	5223	1932
"16786-515rcbc62_S61_L001_R1_cut.fastq.gz"	3588	1849
"16787-515rcbc63_S62_L001_R1_cut.fastq.gz"	20692	18270
"16788-515rcbc64_S63_L001_R1_cut.fastq.gz"	8244	7807
"16789-515rcbc65_S64_L001_R1_cut.fastq.gz"	7229	4118
"16790-515rcbc66_S65_L001_R1_cut.fastq.gz"	2834	1680
"16791-515rcbc67_S66_L001_R1_cut.fastq.gz"	3739	1935
"16792-515rcbc68_S67_L001_R1_cut.fastq.gz"	4152	1483
"16793-515rcbc69_S68_L001_R1_cut.fastq.gz"	11495	9177
"16794-515rcbc70_S69_L001_R1_cut.fastq.gz"	1592	774
"16795-515rcbc71_S70_L001_R1_cut.fastq.gz"	1452	401
"16797-515rcbc73_S71_L001_R1_cut.fastq.gz"	1075	283
"16798-515rcbc74_S72_L001_R1_cut.fastq.gz"	617	157
"16799-515rcbc75_S73_L001_R1_cut.fastq.gz"	3438	1084
"16800-515rcbc76_S74_L001_R1_cut.fastq.gz"	10248	8868
"16801-515rcbc77_S75_L001_R1_cut.fastq.gz"	1493	509
"16802-515rcbc78_S76_L001_R1_cut.fastq.gz"	926	201
"16803-515rcbc79_S77_L001_R1_cut.fastq.gz"	7120	3706
"16804-515rcbc80_S78_L001_R1_cut.fastq.gz"	5489	2009
"16807-515rcbc83_S79_L001_R1_cut.fastq.gz"	4290	1645
"16808-515rcbc84_S80_L001_R1_cut.fastq.gz"	963	133
"16809-515rcbc85_S81_L001_R1_cut.fastq.gz"	1610	359
"16810-515rcbc86_S82_L001_R1_cut.fastq.gz"	2428	958
"16811-515rcbc87_S83_L001_R1_cut.fastq.gz"	1016	246
"16812-515rcbc88_S84_L001_R1_cut.fastq.gz"	5022	3306
"16815-515rcbc91_S85_L001_R1_cut.fastq.gz"	2637	1143
"16816-515rcbc92_S86_L001_R1_cut.fastq.gz"	1793	573
"16817-515rcbc93_S87_L001_R1_cut.fastq.gz"	6249	3783
"16818-515rcbc94_S88_L001_R1_cut.fastq.gz"	999	168
"16819-515rcbc95_S89_L001_R1_cut.fastq.gz"	5663	3761
"16820-515rcbc96_S90_L001_R1_cut.fastq.gz"	605	189
"16821-515rcbc97_S91_L001_R1_cut.fastq.gz"	11566	7363
"16822-515rcbc98_S92_L001_R1_cut.fastq.gz"	559	112
"16823-515rcbc99_S93_L001_R1_cut.fastq.gz"	13788	10954
"16824-515rcbc100_S94_L001_R1_cut.fastq.gz"	6868	4487
"16826-515rcbc102_S95_L001_R1_cut.fastq.gz"	9452	6654
"16827-515rcbc103_S96_L001_R1_cut.fastq.gz"	12463	8816
"16828-515rcbc104_S97_L001_R1_cut.fastq.gz"	14134	13802
"17786-515rcbc111_S104_L001_R1_cut.fastq.gz"	6515	3604
"17787-515rcbc54_S53_L001_R1_cut.fastq.gz"	13174	9168
"17788-515rcbc55_S54_L001_R1_cut.fastq.gz"	22883	18681
"17789-515rcbc58_S57_L001_R1_cut.fastq.gz"	3150	2297
"17790-515rcbc59_S58_L001_R1_cut.fastq.gz"	21117	19802
"17791-515rcbc116_S109_L001_R1_cut.fastq.gz"	4176	1522
"17792-515rcbc117_S110_L001_R1_cut.fastq.gz"	731	209
"17793-515rcbc118_S111_L001_R1_cut.fastq.gz"	2603	897
"17794-515rcbc119_S112_L001_R1_cut.fastq.gz"	6096	2844
"17795-515rcbc120_S113_L001_R1_cut.fastq.gz"	2620	1630
"17796-515rcbc121_S114_L001_R1_cut.fastq.gz"	4819	3869
"17797-515rcbc122_S115_L001_R1_cut.fastq.gz"	86	25
"17798-515rcbc123_S116_L001_R1_cut.fastq.gz"	14960	11654
"17799-515rcbc124_S117_L001_R1_cut.fastq.gz"	8278	8010
"17800-515rcbc125_S118_L001_R1_cut.fastq.gz"	6365	4485
"17801-515rcbc126_S119_L001_R1_cut.fastq.gz"	4890	3195
"17802-515rcbc127_S120_L001_R1_cut.fastq.gz"	7565	4509
"17803-515rcbc128_S121_L001_R1_cut.fastq.gz"	8340	4973
"17804-515rcbc129_S122_L001_R1_cut.fastq.gz"	6682	4468
"17805-515rcbc130_S123_L001_R1_cut.fastq.gz"	1898	845
"17806-515rcbc131_S124_L001_R1_cut.fastq.gz"	6663	6418
"17807-515rcbc132_S125_L001_R1_cut.fastq.gz"	563	256
"17809-515rcbc134_S126_L001_R1_cut.fastq.gz"	2669	994
"17810-515rcbc135_S127_L001_R1_cut.fastq.gz"	2290	858
"17811-515rcbc136_S128_L001_R1_cut.fastq.gz"	219	118
"17812-515rcbc137_S129_L001_R1_cut.fastq.gz"	5494	3143
"17813-515rcbc138_S130_L001_R1_cut.fastq.gz"	4298	1613
"17814-515rcbc105_S98_L001_R1_cut.fastq.gz"	3475	1731
"17815-515rcbc106_S99_L001_R1_cut.fastq.gz"	7928	5035
"17816-515rcbc107_S100_L001_R1_cut.fastq.gz"	11688	8897
"17818-515rcbc109_S102_L001_R1_cut.fastq.gz"	131	17
"17819-515rcbc110_S103_L001_R1_cut.fastq.gz"	3159	1649
"17820-515rcbc139_S131_L001_R1_cut.fastq.gz"	3870	777
"17821-515rcbc140_S132_L001_R1_cut.fastq.gz"	8020	3260
"17822-515rcbc141_S133_L001_R1_cut.fastq.gz"	2019	798
"17823-515rcbc142_S134_L001_R1_cut.fastq.gz"	6886	6387
"17824-515rcbc143_S135_L001_R1_cut.fastq.gz"	3441	1081
"17825-515rcbc144_S136_L001_R1_cut.fastq.gz"	5203	1765
"17826-515rcbc145_S137_L001_R1_cut.fastq.gz"	1573	468
"17827-515rcbc146_S138_L001_R1_cut.fastq.gz"	5879	2959
"17828-515rcbc147_S139_L001_R1_cut.fastq.gz"	5973	2813
"17829-515rcbc148_S140_L001_R1_cut.fastq.gz"	7218	4109
"17830-515rcbc149_S141_L001_R1_cut.fastq.gz"	19938	17121
"17831-515rcbc150_S142_L001_R1_cut.fastq.gz"	2760	1207
"17832-515rcbc151_S143_L001_R1_cut.fastq.gz"	6655	4645
"17833-515rcbc152_S144_L001_R1_cut.fastq.gz"	7765	5083
"17834-515rcbc153_S145_L001_R1_cut.fastq.gz"	3487	1223
"17835-515rcbc154_S146_L001_R1_cut.fastq.gz"	5331	3912
"17836-515rcbc155_S147_L001_R1_cut.fastq.gz"	2057	822
"17838-515rcbc157_S149_L001_R1_cut.fastq.gz"	3468	1376
"17839-515rcbc158_S150_L001_R1_cut.fastq.gz"	3372	966
"17840-515rcbc159_S151_L001_R1_cut.fastq.gz"	1545	362
"17841-515rcbc160_S152_L001_R1_cut.fastq.gz"	13830	11125
"17842-515rcbc161_S153_L001_R1_cut.fastq.gz"	3749	1428
"17843-515rcbc162_S154_L001_R1_cut.fastq.gz"	2679	1056
"17844-515rcbc163_S155_L001_R1_cut.fastq.gz"	12634	10183
"17845-515rcbc164_S156_L001_R1_cut.fastq.gz"	21308	16965
"17846-515rcbc165_S157_L001_R1_cut.fastq.gz"	2494	1219
"17847-515rcbc166_S158_L001_R1_cut.fastq.gz"	14065	12463
"17848-515rcbc167_S159_L001_R1_cut.fastq.gz"	2861	1486
"17849-515rcbc168_S160_L001_R1_cut.fastq.gz"	28471	26246
"17850-515rcbc169_S161_L001_R1_cut.fastq.gz"	3455	2398
"17851-515rcbc170_S162_L001_R1_cut.fastq.gz"	4588	3276
"17852-515rcbc171_S163_L001_R1_cut.fastq.gz"	5902	4394
"17853-515rcbc172_S164_L001_R1_cut.fastq.gz"	36067	32760
"17854-515rcbc173_S165_L001_R1_cut.fastq.gz"	6320	3497
"17855-515rcbc174_S166_L001_R1_cut.fastq.gz"	7662	4242
"17856-515rcbc175_S167_L001_R1_cut.fastq.gz"	18294	7585
"17857-515rcbc176_S168_L001_R1_cut.fastq.gz"	3005	953
"17858-515rcbc177_S169_L001_R1_cut.fastq.gz"	4515	2939
"17860-515rcbc179_S171_L001_R1_cut.fastq.gz"	3838	1784
"17861-515rcbc180_S172_L001_R1_cut.fastq.gz"	3906	3501
"17862-515rcbc181_S173_L001_R1_cut.fastq.gz"	4452	2530
"17863-515rcbc182_S174_L001_R1_cut.fastq.gz"	3248	1497
"17864-515rcbc183_S175_L001_R1_cut.fastq.gz"	10289	8181
