""	"reads.in"	"reads.out"
"17806-515rcbc131_S124_L001_R1_cut.fastq.gz"	4941	4686
"17807-515rcbc132_S125_L001_R1_cut.fastq.gz"	634	196
"17809-515rcbc134_S126_L001_R1_cut.fastq.gz"	2518	666
"17810-515rcbc135_S127_L001_R1_cut.fastq.gz"	1799	560
"17811-515rcbc136_S128_L001_R1_cut.fastq.gz"	141	50
"17812-515rcbc137_S129_L001_R1_cut.fastq.gz"	5246	2166
"17813-515rcbc138_S130_L001_R1_cut.fastq.gz"	4231	1057
"17814-515rcbc105_S98_L001_R1_cut.fastq.gz"	3390	1291
"17815-515rcbc106_S99_L001_R1_cut.fastq.gz"	7732	3509
"17816-515rcbc107_S100_L001_R1_cut.fastq.gz"	8907	6088
"17818-515rcbc109_S102_L001_R1_cut.fastq.gz"	97	12
"17819-515rcbc110_S103_L001_R1_cut.fastq.gz"	2647	1104
"17820-515rcbc139_S131_L001_R1_cut.fastq.gz"	3643	419
"17821-515rcbc140_S132_L001_R1_cut.fastq.gz"	6931	2255
"17822-515rcbc141_S133_L001_R1_cut.fastq.gz"	1693	459
"17823-515rcbc142_S134_L001_R1_cut.fastq.gz"	5017	4597
"17824-515rcbc143_S135_L001_R1_cut.fastq.gz"	2625	679
"17825-515rcbc144_S136_L001_R1_cut.fastq.gz"	4405	995
"17826-515rcbc145_S137_L001_R1_cut.fastq.gz"	1459	252
"17827-515rcbc146_S138_L001_R1_cut.fastq.gz"	5126	2034
"17828-515rcbc147_S139_L001_R1_cut.fastq.gz"	4885	1897
"17829-515rcbc148_S140_L001_R1_cut.fastq.gz"	5220	2570
"17830-515rcbc149_S141_L001_R1_cut.fastq.gz"	15222	12375
"17831-515rcbc150_S142_L001_R1_cut.fastq.gz"	2242	709
"17832-515rcbc151_S143_L001_R1_cut.fastq.gz"	4494	3072
"17833-515rcbc152_S144_L001_R1_cut.fastq.gz"	5880	3322
"17834-515rcbc153_S145_L001_R1_cut.fastq.gz"	3361	819
"17835-515rcbc154_S146_L001_R1_cut.fastq.gz"	3947	2629
"17836-515rcbc155_S147_L001_R1_cut.fastq.gz"	1621	486
"17838-515rcbc157_S149_L001_R1_cut.fastq.gz"	2545	852
"17839-515rcbc158_S150_L001_R1_cut.fastq.gz"	3519	603
"17840-515rcbc159_S151_L001_R1_cut.fastq.gz"	1622	250
"17841-515rcbc160_S152_L001_R1_cut.fastq.gz"	10598	7748
"17842-515rcbc161_S153_L001_R1_cut.fastq.gz"	3365	929
"17843-515rcbc162_S154_L001_R1_cut.fastq.gz"	2105	550
"17844-515rcbc163_S155_L001_R1_cut.fastq.gz"	9588	7351
"17845-515rcbc164_S156_L001_R1_cut.fastq.gz"	16695	12353
"17846-515rcbc165_S157_L001_R1_cut.fastq.gz"	2154	856
"17847-515rcbc166_S158_L001_R1_cut.fastq.gz"	10328	8545
"17848-515rcbc167_S159_L001_R1_cut.fastq.gz"	2046	945
"17849-515rcbc168_S160_L001_R1_cut.fastq.gz"	20807	18776
"17850-515rcbc169_S161_L001_R1_cut.fastq.gz"	2823	1651
"17851-515rcbc170_S162_L001_R1_cut.fastq.gz"	4008	2428
"17852-515rcbc171_S163_L001_R1_cut.fastq.gz"	4185	3088
"17853-515rcbc172_S164_L001_R1_cut.fastq.gz"	27225	24344
"17854-515rcbc173_S165_L001_R1_cut.fastq.gz"	4972	2336
"17855-515rcbc174_S166_L001_R1_cut.fastq.gz"	6772	2857
"17856-515rcbc175_S167_L001_R1_cut.fastq.gz"	14070	5329
"17857-515rcbc176_S168_L001_R1_cut.fastq.gz"	2045	635
"17858-515rcbc177_S169_L001_R1_cut.fastq.gz"	3695	2144
"17860-515rcbc179_S171_L001_R1_cut.fastq.gz"	3229	1138
"17861-515rcbc180_S172_L001_R1_cut.fastq.gz"	2829	2565
"17862-515rcbc181_S173_L001_R1_cut.fastq.gz"	3581	1759
"17863-515rcbc182_S174_L001_R1_cut.fastq.gz"	2298	940
"17864-515rcbc183_S175_L001_R1_cut.fastq.gz"	8096	5975
